Accelerometr_X,Accelerometr_Y,Accelerometr_Z,Accelerometer_Mean,Accelerometr_Std_X,Accelerometr_Std_Y,Accelerometr_Std_Z,Audio level mean,Light sensor mean,Light sensor std,Proximity,Screen mode,Sleeping,Timing,2 min long 
-6194,-1584,-4335,7724.44,6872,3176,10292,47,124,125,0,on,0,,
-2359,-5385,-10020,11617.38,7932,2339,7837,86,182,183,0,off,0,,
-3688,-7102,-8714,11831.04,8959,3846,8044,54.7,258,259,0,off,0,,
-5874,-7488,-12092,15388.00,10596,4654,7530,63,183,184,1,off,0,,
-7868,-6168,-29952,31576.45,3918,3606,11364,97,351,352,1,off,0,,
-9022,-7532,-7644,14019.92,8057,2891,11426,45,751,752,0,on,0,,
-2862,550,563,2968.25,-2410,5180,5984,76,173,174,0,off,0,,
-11211,11744,-8047,18120.77,11307,3511,13538,49,901,902,0,on,0,,
-10202,-10920,-7796,16855.41,8685,4668,15262,93,795,796,1,off,0,,
-546,2011,3257,3866.56,455,2470,3783,62,225,226,1,off,0,,
-2924,-3203,1057,4463.88,4928,3250,6735,49.5,151,152,0,off,0,,
-10625,-9784,-3284,14812.22,2383,3020,10269,87,655,656,1,off,0,,
-1516,878,2618,3150.09,1512,2880,5299,96,195,196,1,off,0,,
-1381,1474,2573,3271.11,614,3031,4257,71,210,211,1,off,0,,
-4252,-4244,-3270,6839.88,4037,3165,13526,56,939,940,1,off,0,,
-11993,-6384,-5308,14586.38,6736,5426,16901,89.4,465,466,0,on,0,,
-2615,1050,484,2859.19,2214,4230,6085,52,175,176,0,on,0,,
-8890,-7648,-7140,13729.66,1558,3844,13310,99,325,326,0,on,0,,
-7325,-11978,-9706,17068.52,10371,3070,19113,73,226,227,1,off,0,,
-7624,-10031,-12264,17582.72,9334,3889,8245,46,485,486,1,off,0,,
-1243,1622,2683,3372.60,-53,2301,4248,60,165,166,1,off,0,,
-7453,-14307,-12726,20547.23,8357,2999,17732,85,325,326,1,off,0,,
-2073,115,2039,2910.00,699,2976,4927,61,115,116,0,on,0,,
-473,1676,3036,3500.00,671,2332,4310,48.6,237,238,0,on,0,,
-4458,-13809,-13267,19661.52,15680,2716,9408,80,912,913,0,off,0,,
-9814,-12541,-23205,28143.62,10037,4018,30011,55,156,157,0,on,0,,
-8381,-7027,-11969,16213.48,3722,2764,14056,94,820,821,1,off,0,,
-8277,-1485,-1705,8580.27,4799,4623,6931,66,625,626,0,on,0,,
-2158,1602,2072,3393.60,531,2837,4573,72,197,198,0,off,0,,
-5451,-10004,3371,11880.95,9582,2872,9081,64,261,262,1,off,0,,
-3447,-11891,-7609,14531.85,6376,2785,6498,53,192,193,1,off,0,,
-27552,-13812,11984,33068.12,-6519,10499,23185,91,228,229,1,off,0,,
-11353,-8074,7681,15908.42,-4677,7173,13728,88,155,156,0,on,0,,
-10858,-5595,2602,12488.82,-4075,7872,10414,90,565,566,0,on,0,,
-12642,-6538,7967,16310.69,-1882,7621,10353,67,545,546,0,on,0,,
-5100,-8844,-5398,11548.37,1884,3842,10561,51.6,324,325,1,off,0,,
-1235,1247,2940,3424.01,841,2330,4358,86,175,176,1,off,0,,
-1787,1697,2660,3626.12,1090,3302,4268,49,186,187,1,off,0,,
-10734,-12838,-11141,20103.60,2552,7661,16048,87.1,645,646,0,off,0,,
-11147,-20336,-8839,24818.07,2967,5565,19576,62,321,322,0,on,0,,
-6294,-1684,-4435,7881.59,6772,3076,10192,48,144,145,0,on,0,,
-2459,-5485,-10120,11770.57,7832,2239,7737,87,202,203,0,on,0,,
-3788,-7202,-8814,11996.01,8859,3746,7944,55.7,278,279,0,off,0,,
-5974,-7588,-12192,15553.50,10496,4554,7430,64,203,204,1,off,0,,
-7968,-6268,-30052,31715.92,3818,3506,11264,98,371,372,1,off,0,,
-9122,-7632,-7744,14192.53,7957,2791,11326,46,771,772,0,off,0,,
-2962,450,463,3031.55,-2510,5080,5884,77,193,194,0,off,0,,
-11311,11644,-8147,18163.01,11207,3411,13438,50,921,922,0,on,0,,
-10302,-11020,-7896,17026.99,8585,4568,15162,94,815,816,1,off,0,,
-646,1911,3157,3746.45,355,2370,3683,63,245,246,1,off,0,,
-3024,-3303,957,4579.33,4828,3150,6635,50.5,171,172,0,off,0,,
-10725,-9884,-3384,14972.33,2283,2920,10169,88,675,676,1,off,0,,
-1616,778,2518,3091.45,1412,2780,5199,97,215,216,1,off,0,,
-1481,1374,2473,3193.27,514,2931,4157,72,230,231,1,off,0,,
-4352,-4344,-3370,7011.93,3937,3065,13426,57,959,960,1,off,0,,
-12093,-6484,-5408,14748.88,6636,5326,16801,90.4,485,486,0,on,0,,
-2715,950,384,2901.93,2114,4130,5985,53,195,196,0,off,0,,
-8990,-7748,-7240,13902.13,1458,3744,13210,100,345,346,0,off,0,,
-7425,-12078,-9806,17238.51,10271,2970,19013,74,246,247,1,off,0,,
-7724,-10131,-12364,17752.91,9234,3789,8145,47,505,506,1,off,0,,
-1343,1522,2583,3285.12,-153,2201,4148,61,185,186,1,off,0,,
-7553,-14407,-12826,20715.11,8257,2899,17632,86,345,346,1,off,0,,
-2173,15,1939,2912.37,599,2876,4827,62,135,136,0,on,0,,
-573,1576,2936,3381.15,571,2232,4210,49.6,257,258,0,off,0,,
-4558,-13909,-13367,19822.02,15580,2616,9308,81,932,933,0,on,0,,
-9914,-12641,-23305,28305.57,9937,3918,29911,56,176,177,0,off,0,,
-8481,-7127,-12069,16382.38,3622,2664,13956,95,840,841,1,off,0,,
-8377,-1585,-1805,8714.61,4699,4523,6831,67,645,646,0,off,0,,
-2258,1502,1972,3353.11,431,2737,4473,73,217,218,0,on,0,,
